id,question,text,position,section
mle0001,What is Semi-supervised Machine Learning?,"Semi-supervised learning is the blend of supervised and unsupervised learning. The algorithm is trained on a mix of labeled and unlabeled data. Generally, it is utilized when we have a very small labeled dataset and a large unlabeled dataset.
In simple terms, the unsupervised algorithm is used to create clusters and by using existing labeled data to label the rest of the unlabelled data. A Semi-supervised algorithm assumes continuity assumption, cluster assumption, and manifold assumption.
It is generally used to save the cost of acquiring labeled data. For example, protein sequence classification, automatic speech recognition, and self-driving cars.",mle,Basic Machine Learning Interview Questions
mle0002,How do you choose which algorithm to use for a dataset?,"Apart from the dataset, you need a business use case or application requirements. You can apply supervised and unsupervised learning to the same data.
Generally:
Supervised learning algorithms require labeled data.
Regression algorithms require continuous numerical targets
Classification algorithms require categorical targets
Unsupervised learning algorithms require unlabeled data.
Semi-supervised learning requires the combination of labeled and unlabeled datasets.
Reinforcement learning algorithms require environment, agent, state, and reward data.",mle,Basic Machine Learning Interview Questions
mle0003,Explain the K Nearest Neighbor Algorithm,"The K Nearest Neighbor (KNN) is a supervised learning classifier. It uses proximity to classify labels or predict the grouping of individual data points. We can use it for regression and classification. KNN algorithm is non-parametric, meaning it doesn't make an underlying assumption of data distribution.
In the KNN classifier:
We find K-neighbors nearest to the white point. In the example below, we chose k=5.
To find the five nearest neighbors, we calculate the euclidean distance between the white point and the others. Then, we chose the 5 points closest to the white point.
There are three red and two green points at K=5. Since the red has a majority, we assign a red label to it.",mle,Basic Machine Learning Interview Questions
mle0004,"What is Feature Importance in machine learning, and how do you determine it?","Feature importance refers to techniques that assign a score to input features based on how useful they are at predicting a target variable. It plays a critical role in understanding the data's underlying structure, the behavior of the model, and making the model more interpretable.
There are several methods to determine feature importance:
Model-based Importance: Certain algorithms like Decision Trees and Random Forests provide built-in methods to evaluate feature importance. For example, Random Forests calculate the decrease in node impurity weighted by the probability of reaching that node, averaged over all trees.
Permutation Importance: This involves shuffling individual variables in the validation set and observing the effect on model performance. A significant decrease in model performance indicates high importance.
SHAP (SHapley Additive exPlanations): This approach uses game theory to measure the contribution of each feature to the prediction in a complex model. SHAP values provide a deep insight into the model's behavior and are particularly useful for complex models like gradient boosting machines or neural networks.
Correlation Coefficients: Simple statistical measures like Pearson or Spearman correlation can provide insights into the linear relationship between each feature and the target variable.
Understanding feature importance is crucial for model optimization, reducing overfitting by removing non-informative features, and improving model interpretability, especially in domains where understanding the model's decision process is critical.",mle,Technical Machine Learning Interview Questions
mle0005,Is it true that we need to scale our feature values when they vary greatly?,"Yes. Most of the algorithms use Euclidean distance between data points, and if the feature value varies greatly, the results will be quite different. In most cases, outliers cause machine learning models to perform worse on the test dataset.
We also use feature scaling to reduce convergence time. It will take longer for gradient descent to reach local minima when features are not normalized.",mle,Technical Machine Learning Interview Questions
mle0006,The model you have trained has a low bias and high variance. How would you deal with it?,"Low bias occurs when the model is predicting values close to the actual value. It is mimicking the training dataset. The model has no generalization which means if the model is tested on unseen data, it will give poor results.
To fix these issues, we will use bagging algorithms as it divides a data set into subsets using randomized sampling. Then, we generate sets of models using these samples with a single algorithm. After that, we combine the model prediction using voting classification or averaging.
For high variance, we can use regularization techniques. It penalized higher model coefficients to lower model complexity. Furthermore, we can select the top features from the feature importance graph and train the model.",mle,Technical Machine Learning Interview Questions
mle0007,Which cross-validation technique would you suggest for a time-series dataset and why?,"Cross-validation is used to evaluate model performance robustly and prevent overfitting. Generally, cross-validation techniques randomly pick samples from the data and split them into train and test data sets. The number of splits is based on the K value.
For example, if the K = 5, there will be four folds for the train and one for the test. It will repeat five times to measure the model performed on separate folds.
We cannot do it with a time series dataset because it doesn't make sense to use the value from the future to forecast the value of the past. There is a temporal dependency between observations, and we can only split the data in one direction so that the values of the test dataset are after the training set.
The diagram shows that time series data k fold split is unidirectional. The blue points are the training set, the red point is the test set, and the white is unused data. As we can observe with every iteration, we are moving forward with the training set while the test set remains in front of the training set, not randomly selected.",mle,Computer Vision Engineering Interview Questions
mle0008,Why can the inputs in computer vision problems get huge? Explain it with an example,"Imagine an image of 250 X 250 and a fully connected hidden first layer with 1000 hidden units. For this image, the input features are 250 X 250 X 3 = 187,500, and the weight matrix at the first hidden layer will be 187,500 X 1000 dimensional matrix. These numbers are huge for storage and computation, and to combat this problem, we use convolution operations.
Learn image processing by taking a short Image Processing in Python course",mle,Computer Vision Engineering Interview Questions
mle0009,"When you have a small dataset, suggest a way to train a convolutional neural network","If you do not have enough data to train a convolutional neural network, you can use transfer learning to train your model and get state-of-the-art results. You need a pre-trained model which was trained on a general but larger dataset. After that, you will fine-tune it on newer data by training the last layers of the models.
Transfer learning allows data scientists to train models on smaller data by using fewer resources, computing, and storage. You can find open-source pre-trained models for various use cases easily, and most of them have a commercial license which means you can use them to create your application.",mle,Computer Vision Engineering Interview Questions
mle0010,What is the state-of-the-art object detection algorithm YOLO?,"YOLO is an object detection algorithm based on convolutional neural networks, and it can provide real-time results. The YOLO algorithm requires a single forward pass through CNN to recognize the object. It predicts both various class probabilities and boundary boxes.
The model was trained to detect various objects, and companies are using transfer learning to fine-tune it on new data for modern applications such as autonomous driving, wildlife preservation, and security.",mle,NLP Engineering Interview Questions
